,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum
2023-04-05 00:00:00+00:00,16.581459,8.739319,24.526306,2.8564951,1.7823611,3.7567663,0.0
2023-04-06 00:00:00+00:00,17.456577,8.32843,25.956726,1.5252212,0.45825037,2.25228,0.0
2023-04-07 00:00:00+00:00,17.54489,9.203278,25.670502,1.3607928,0.42872405,1.9696591,5.609849e-06
2023-04-08 00:00:00+00:00,17.723671,9.180542,26.078583,1.445921,0.6160546,2.263203,0.0
2023-04-09 00:00:00+00:00,17.729446,10.650421,25.774994,1.6751375,0.38928252,3.7885575,0.0
2023-04-10 00:00:00+00:00,16.065096,9.089233,23.563965,3.0011132,1.6438308,4.69537,0.000592774
2023-04-11 00:00:00+00:00,15.793057,10.863525,22.684692,3.0597165,1.9454277,4.627434,0.0037917905
2023-04-12 00:00:00+00:00,13.274554,8.914673,17.351044,3.7723682,1.9994034,5.345751,0.055541243
2023-04-13 00:00:00+00:00,11.610981,5.5117493,17.517914,3.672182,2.5391767,4.9560547,0.005145166
2023-04-14 00:00:00+00:00,13.746906,8.5329895,18.981476,3.3503284,1.65769,5.119419,0.06292661
2023-04-15 00:00:00+00:00,17.449379,10.675201,24.848083,3.4590511,2.815724,4.7560563,8.92901e-05
2023-04-16 00:00:00+00:00,19.817095,12.412018,27.291199,3.05727,2.196182,4.2588234,0.0
2023-04-17 00:00:00+00:00,20.87021,12.563232,28.860748,2.7827427,1.6590879,3.8989148,0.0
2023-04-18 00:00:00+00:00,19.83526,11.837402,27.30783,1.7051406,0.6827303,2.8310556,0.0
2023-04-19 00:00:00+00:00,18.754988,11.611481,26.431763,1.8251371,0.37930655,3.4984093,0.001358051
2023-04-20 00:00:00+00:00,16.823431,10.34668,24.179626,1.8216769,0.3836635,3.1838117,7.947286e-05
2023-04-21 00:00:00+00:00,13.48243,9.125824,18.852295,2.4758666,0.46884093,5.3274217,0.91369665
2023-04-22 00:00:00+00:00,14.352393,9.230011,19.63739,2.109022,0.75074774,3.5804133,0.03559683
2023-04-23 00:00:00+00:00,15.888512,9.821808,22.051392,2.0218933,0.37579957,4.121873,0.04882111
2023-04-24 00:00:00+00:00,18.265846,11.714355,25.207397,2.087167,1.4428381,3.305081,0.0038647184
2023-04-25 00:00:00+00:00,19.210318,11.966858,26.612427,1.9986597,1.3461562,3.2835665,0.0002000846
2023-04-26 00:00:00+00:00,20.852339,12.279663,29.0484,1.5898751,0.2373866,2.6181533,8.508271e-05
2023-04-27 00:00:00+00:00,23.631845,15.807953,31.607513,1.4607457,0.982464,1.7917097,0.0017128739
2023-04-28 00:00:00+00:00,21.576494,15.329559,28.82489,1.8702087,0.03083882,3.9575436,0.004485074
2023-04-29 00:00:00+00:00,19.083412,15.15741,23.988434,3.7406123,2.2661612,5.2974105,0.03381009
2023-04-30 00:00:00+00:00,19.309105,13.362061,26.121643,3.2316656,2.6743577,3.9951696,0.00049392047
2023-05-01 00:00:00+00:00,20.74254,13.096802,28.52118,2.0549262,0.3044392,3.0452392,1.7297036e-05
2023-05-02 00:00:00+00:00,22.909447,14.691162,30.97403,1.9462948,0.6281688,2.9217455,0.006961355
2023-05-03 00:00:00+00:00,20.82061,15.70105,26.16214,3.4206326,1.0948931,5.351374,0.12170567
2023-05-04 00:00:00+00:00,17.735003,13.212952,22.631805,2.6739368,0.9396273,4.3064795,0.047395743
2023-05-05 00:00:00+00:00,17.622486,11.399506,24.176025,2.2684588,1.2069768,3.951054,0.004424301
2023-05-06 00:00:00+00:00,17.340097,11.728119,22.857758,2.78081,1.0909374,5.0715466,0.092076324
2023-05-07 00:00:00+00:00,18.717697,12.128662,26.147491,3.1400347,2.0828686,4.8516173,3.786648e-05
2023-05-08 00:00:00+00:00,20.048677,12.5763855,28.035065,3.058883,1.1415468,4.940511,0.003511298
2023-05-09 00:00:00+00:00,19.579554,14.877319,25.641876,4.68923,3.2480252,6.2015185,0.015025513
2023-05-10 00:00:00+00:00,17.666891,11.306976,24.740692,4.488656,3.8406734,5.647227,9.349749e-07
2023-05-11 00:00:00+00:00,17.757534,10.415192,24.898285,4.4663672,3.6705663,5.3583145,0.0
2023-05-12 00:00:00+00:00,17.035492,11.0998535,22.633911,4.6516795,3.6773348,6.4076924,0.0001411812
2023-05-13 00:00:00+00:00,17.264242,10.242828,23.63382,3.3971796,2.8653097,4.09355,0.0
2023-05-14 00:00:00+00:00,18.359022,10.994873,25.088318,2.791764,1.1131883,4.9792824,9.349749e-07
2023-05-15 00:00:00+00:00,18.47592,12.07135,24.824738,3.243062,2.2159111,4.8856945,1.4024622e-06
2023-05-16 00:00:00+00:00,19.616972,12.518768,26.563171,2.6503932,2.0606804,3.741852,9.0692556e-05
2023-05-17 00:00:00+00:00,19.597881,14.323547,25.187286,3.0614789,0.82937676,5.032843,0.021619422
2023-05-18 00:00:00+00:00,18.644213,12.263245,24.376923,3.2541437,1.3521969,4.9171605,0.008440018
2023-05-19 00:00:00+00:00,18.333128,11.875153,24.325775,2.545554,1.7439735,3.8342423,0.0008508271
2023-05-20 00:00:00+00:00,18.115374,13.173889,22.903381,2.4987328,1.4234525,4.0598016,0.0138441725
2023-05-21 00:00:00+00:00,17.156284,13.886139,21.753387,1.968305,0.3819372,3.2438092,0.13037148
2023-05-22 00:00:00+00:00,17.103697,12.390472,22.915161,1.4296743,0.7019945,2.6523476,0.38431436
2023-05-23 00:00:00+00:00,18.490461,13.995728,24.154755,1.7569185,0.9654246,2.788268,0.2851075
2023-05-24 00:00:00+00:00,19.451635,13.811462,24.584625,1.6025195,0.67607903,2.8301497,0.1013695
2023-05-25 00:00:00+00:00,20.4848,14.086548,26.726349,1.9561886,0.5577671,4.7252517,0.110672966
2023-05-26 00:00:00+00:00,17.675337,14.055115,21.817017,2.188916,0.08488273,4.9259477,0.47117072
2023-05-27 00:00:00+00:00,17.592428,14.139587,21.54715,1.0398256,0.19588603,1.576143,0.82271147
2023-05-28 00:00:00+00:00,16.94441,14.491486,20.303741,2.6185548,1.5331084,4.2566113,0.30842483
2023-05-29 00:00:00+00:00,16.523676,13.590179,20.019684,2.6979952,1.7154666,4.058819,0.44380873
2023-05-30 00:00:00+00:00,17.137693,13.639374,21.033173,2.31312,1.3512739,3.7685225,0.42218134
2023-05-31 00:00:00+00:00,18.318892,13.464264,23.641083,1.8166648,0.30641976,3.5726407,0.118682325
2023-06-01 00:00:00+00:00,18.758919,13.947968,24.263275,1.4632171,0.5924961,2.3249285,0.2573331
2023-06-02 00:00:00+00:00,19.260092,14.913025,24.50122,0.9874131,0.34788573,1.545085,0.37188622
2023-06-03 00:00:00+00:00,19.62762,14.096832,24.94278,1.2119921,0.08311551,2.7113202,0.25465256
2023-06-04 00:00:00+00:00,20.387903,15.313416,25.600311,1.6152431,0.38259166,2.7781844,0.13544092
2023-06-05 00:00:00+00:00,21.442053,16.073425,26.855682,1.0874139,0.35185355,1.6541122,0.037550926
2023-06-06 00:00:00+00:00,22.884317,16.476166,29.176697,2.303528,0.52581584,4.2966146,0.42646587
2023-06-07 00:00:00+00:00,20.957193,17.744507,25.412384,3.448148,1.6326412,4.988977,0.4306326
2023-06-08 00:00:00+00:00,19.924442,17.440063,23.215668,4.281512,2.62459,5.540114,1.1850951
2023-06-09 00:00:00+00:00,19.4053,17.107391,22.833313,3.5554163,1.7711198,4.610614,0.35499543
2023-06-10 00:00:00+00:00,19.900103,16.078003,24.245605,1.8592206,0.6870457,3.2742472,0.058001164
2023-06-11 00:00:00+00:00,19.888834,14.110657,25.475159,1.9634017,0.3861272,3.9986973,0.023832042
2023-06-12 00:00:00+00:00,20.406374,15.682709,25.53012,2.2453556,0.09568547,4.352497,0.15395904
2023-06-13 00:00:00+00:00,19.478083,15.865906,23.97055,4.118588,2.9745228,5.660063,0.08152793
2023-06-14 00:00:00+00:00,21.561396,15.626953,28.001556,2.7771585,1.6589698,3.936714,0.0014744553
2023-06-15 00:00:00+00:00,25.100729,16.81601,32.668304,1.8421758,0.5671338,2.7742534,1.0752211e-05
2023-06-16 00:00:00+00:00,26.27855,19.371185,33.15689,2.0834677,0.2783102,3.7638,0.0023243476
2023-06-17 00:00:00+00:00,23.741377,17.913574,30.420013,3.080528,2.0137184,4.6472545,0.014202268
2023-06-18 00:00:00+00:00,21.69278,16.294678,27.249084,2.504248,1.9301584,3.7314215,0.021877475
2023-06-19 00:00:00+00:00,20.907396,17.039215,25.728485,2.3920333,0.5659259,4.5478654,0.054184597
2023-06-20 00:00:00+00:00,20.254148,16.224762,24.856018,2.44662,1.4116037,3.6977134,0.032885402
2023-06-21 00:00:00+00:00,19.772316,16.087372,23.750153,2.2917795,1.4462339,3.660313,0.22498673
2023-06-22 00:00:00+00:00,22.082146,14.931946,29.063263,1.9852296,0.58986396,3.3635004,0.00015754325
2023-06-23 00:00:00+00:00,26.924973,17.781708,34.97586,1.7161626,0.8220619,2.6759455,6.544824e-06
2023-06-24 00:00:00+00:00,28.627106,21.548187,35.580933,1.6239747,0.7504555,2.809388,0.00027862252
2023-06-25 00:00:00+00:00,28.091766,20.926208,36.030792,2.475506,1.4151764,4.115958,0.010762495
2023-06-26 00:00:00+00:00,26.933481,19.016815,35.14032,2.7755146,1.7566117,4.4996247,1.8699498e-06
2023-06-27 00:00:00+00:00,26.081118,18.60617,34.217224,2.4000962,1.4425306,3.9624906,7.947287e-06
2023-06-28 00:00:00+00:00,26.560974,19.80423,34.08911,2.7692063,1.7275846,4.809528,0.00019026737
2023-06-29 00:00:00+00:00,23.073524,17.901733,28.973083,4.422273,2.7657983,6.2965527,0.00012435166
2023-06-30 00:00:00+00:00,23.694809,16.087067,30.718048,3.6776707,3.2031248,4.6537843,0.0
2023-07-01 00:00:00+00:00,26.122614,18.241302,33.57074,2.361488,0.9161284,3.2357943,0.0
2023-07-02 00:00:00+00:00,27.198812,19.987274,34.296967,1.8908693,0.34930447,3.38124,0.01922168
2023-07-03 00:00:00+00:00,25.332825,19.331146,32.371094,2.7797585,1.295204,5.008371,0.00077509414
2023-07-04 00:00:00+00:00,22.810867,16.29956,30.401062,3.6333084,2.8940005,5.0109506,0.0006194209
2023-07-05 00:00:00+00:00,22.787542,16.39859,29.754486,3.0168962,1.4224284,4.997131,0.0014258367
2023-07-06 00:00:00+00:00,22.524313,16.128387,29.844604,2.9996052,1.8649995,4.3765416,0.0005722046
2023-07-07 00:00:00+00:00,21.797785,15.305878,28.645935,2.892312,1.339613,5.0257945,0.00325231
2023-07-08 00:00:00+00:00,21.29049,16.27359,27.313568,2.443889,0.62312174,4.3016763,0.035026025
2023-07-09 00:00:00+00:00,22.14508,14.104431,29.91455,3.0001223,2.3230522,4.3230724,7.479799e-06
2023-07-10 00:00:00+00:00,25.326262,15.775696,34.719727,2.5174568,1.1697475,3.8532221,3.973643e-05
2023-07-11 00:00:00+00:00,23.983084,17.554932,31.109741,3.3111048,2.3091276,4.7758713,3.459407e-05
2023-07-12 00:00:00+00:00,23.248117,16.639587,30.514679,3.5659854,2.5108953,4.967758,0.00069281633
2023-07-13 00:00:00+00:00,24.68537,16.304932,33.460297,2.7958791,1.7832844,4.0658,0.0
2023-07-14 00:00:00+00:00,23.387022,17.601074,30.111969,3.2212336,1.8455815,4.9840446,0.034600146
2023-07-15 00:00:00+00:00,21.249956,16.749207,26.42746,4.024102,3.270939,5.1406174,0.018919216
2023-07-16 00:00:00+00:00,20.652819,12.733978,28.481628,3.4366255,2.8983474,4.3679276,0.0
2023-07-17 00:00:00+00:00,24.008322,14.319946,33.66931,2.1338928,0.72403413,3.1701605,3.6931506e-05
2023-07-18 00:00:00+00:00,24.320908,17.83554,31.865387,2.1439755,1.4254096,3.6349854,0.0011215024
2023-07-19 00:00:00+00:00,23.96758,17.03534,32.269318,2.44266,1.4229504,4.4703245,0.0004819795
2023-07-20 00:00:00+00:00,21.425238,16.032715,28.332855,3.8655472,2.3821018,5.9345813,8.8355126e-05
2023-07-21 00:00:00+00:00,20.701017,15.10083,26.946808,3.6858199,2.6603396,5.024201,0.003271477
2023-07-22 00:00:00+00:00,21.846827,14.378052,29.73581,2.336064,1.3635588,3.7062123,8.882261e-06
2023-07-23 00:00:00+00:00,21.786245,15.126434,28.865784,3.3179739,2.1384287,5.1111035,0.0075812433
2023-07-24 00:00:00+00:00,20.989672,17.003265,26.615967,4.2351694,3.0151446,5.62487,0.0041396013
2023-07-25 00:00:00+00:00,20.933868,13.921478,28.61972,3.4478953,2.653259,4.6490316,2.6179296e-05
2023-07-26 00:00:00+00:00,23.761347,14.879639,32.573517,2.0218868,0.6475211,3.6920555,0.00016782798
2023-07-27 00:00:00+00:00,21.247946,16.75122,27.483154,3.2966964,2.0469468,4.7119274,0.0021784916
2023-07-28 00:00:00+00:00,22.381853,15.046387,29.942017,2.9142525,1.8153405,4.716566,0.006931436
2023-07-29 00:00:00+00:00,24.138956,18.445496,30.906494,2.8968594,1.6334963,4.822228,0.008732664
2023-07-30 00:00:00+00:00,23.758667,16.620789,31.532227,3.2075996,2.1084123,5.107866,4.721623e-05
2023-07-31 00:00:00+00:00,22.420889,15.34906,30.273102,4.021091,2.7429185,5.9369106,0.00067550596
2023-08-01 00:00:00+00:00,23.497599,17.337189,30.984161,4.102487,3.054454,5.5722466,0.0066093374
2023-08-02 00:00:00+00:00,22.710403,17.945862,28.86493,4.305097,3.258352,5.507829,0.053863436
2023-08-03 00:00:00+00:00,21.311415,14.546295,28.422668,4.665206,3.6137698,6.1536145,9.349749e-07
2023-08-04 00:00:00+00:00,23.393167,14.701447,31.823792,3.5900185,2.6813104,4.4972615,0.0
2023-08-05 00:00:00+00:00,26.983133,17.99002,35.37628,2.7135036,2.231419,3.162597,0.0
2023-08-06 00:00:00+00:00,29.412949,19.474304,38.657135,2.1787374,1.4760668,2.713096,0.0
2023-08-07 00:00:00+00:00,29.874466,22.17694,38.59207,1.8667283,0.56573534,3.2855072,0.0
2023-08-08 00:00:00+00:00,28.178087,21.771515,36.319183,2.4193304,0.9937201,3.386979,7.3395524e-05
2023-08-09 00:00:00+00:00,25.354055,20.674469,32.07782,2.1221492,0.7714347,3.988791,0.00022112155
2023-08-10 00:00:00+00:00,24.74534,17.102936,33.71631,2.639864,1.717066,4.2244515,0.00045065788
2023-08-11 00:00:00+00:00,26.307526,17.457245,35.736298,2.9657762,1.7701536,4.532213,0.00057080213
2023-08-12 00:00:00+00:00,25.472082,19.106628,33.167694,3.6085813,2.5284297,5.21044,0.00020569445
