Unnamed: 0,Data,Sunlight (em minutos),avg_price_eur_mwh,temp_C_mean,temp_C_min,temp_C_max,wind_speed_mean,wind_speed_min,wind_speed_max,precip_mm_sum,mean_cloud,min_cloud,max_cloud
118,2023-04-29,827.4,88.81217391304348,19.083412,15.15741,23.988434,3.7406123,2.2661612,5.2974105,0.03381009,80.64358,50.828247,99.64133
119,2023-04-30,829.8,72.21173913043478,19.309105,13.362061,26.121643,3.2316656,2.6743577,3.9951696,0.00049392047,58.836163,1.8637983,100.0
120,2023-05-01,832.2,92.93142857142855,20.74254,13.096802,28.52118,2.0549262,0.3044392,3.0452392,1.7297036e-05,49.80603,12.9867735,93.72727
121,2023-05-02,834.0,113.07454545454544,22.909447,14.691162,30.97403,1.9462948,0.6281688,2.9217455,0.006961355,92.70345,64.92389,100.0
122,2023-05-03,836.4,82.085,20.82061,15.70105,26.16214,3.4206326,1.0948931,5.351374,0.12170567,55.801975,25.75734,85.05224
123,2023-05-04,838.8,93.57423076923077,17.735003,13.212952,22.631805,2.6739368,0.9396273,4.3064795,0.047395743,46.90294,6.2852926,88.99486
124,2023-05-05,840.6,100.96613636363637,17.622486,11.399506,24.176025,2.2684588,1.2069768,3.951054,0.004424301,43.307022,14.483714,69.52126
125,2023-05-06,843.0,90.055,17.340097,11.728119,22.857758,2.78081,1.0909374,5.0715466,0.092076324,38.850365,6.3579245,72.930405
126,2023-05-07,844.8,68.74857142857142,18.717697,12.128662,26.147491,3.1400347,2.0828686,4.8516173,3.786648e-05,33.25729,0.64682907,91.69354
127,2023-05-08,847.2,97.83708333333334,20.048677,12.5763855,28.035065,3.058883,1.1415468,4.940511,0.003511298,81.60789,34.188988,97.181755
128,2023-05-09,849.0,91.05782608695652,19.579554,14.877319,25.641876,4.68923,3.2480252,6.2015185,0.015025513,74.22422,52.052753,97.3226
129,2023-05-10,850.8,83.26208333333334,17.666891,11.306976,24.740692,4.488656,3.8406734,5.647227,9.349749e-07,49.7963,27.940065,79.15359
130,2023-05-11,853.2,82.97304347826088,17.757534,10.415192,24.898285,4.4663672,3.6705663,5.3583145,0.0,5.749166,0.0,26.443624
131,2023-05-12,854.4,73.47791666666667,17.035492,11.0998535,22.633911,4.6516795,3.6773348,6.4076924,0.0001411812,5.6957154,0.0,21.3203
132,2023-05-13,856.8,54.17136363636364,17.264242,10.242828,23.63382,3.3971796,2.8653097,4.09355,0.0,4.371151,0.0,18.57982
133,2023-05-14,858.6,55.8285,18.359022,10.994873,25.088318,2.791764,1.1131883,4.9792824,9.349749e-07,18.172298,0.039565142,41.43781
134,2023-05-15,860.4,59.67454545454545,18.47592,12.07135,24.824738,3.243062,2.2159111,4.8856945,1.4024622e-06,33.468838,6.916073,52.397068
135,2023-05-16,862.2,46.25363636363637,19.616972,12.518768,26.563171,2.6503932,2.0606804,3.741852,9.0692556e-05,48.71047,26.140352,61.048115
136,2023-05-17,864.0,49.57375,19.597881,14.323547,25.187286,3.0614789,0.82937676,5.032843,0.021619422,58.591022,27.998728,75.29455
137,2023-05-18,865.8,54.38409090909091,18.644213,12.263245,24.376923,3.2541437,1.3521969,4.9171605,0.008440018,23.750002,0.07737104,69.805374
138,2023-05-19,867.6,63.29142857142857,18.333128,11.875153,24.325775,2.545554,1.7439735,3.8342423,0.0008508271,8.010204,1.0149788,23.395206
139,2023-05-20,868.8,46.91090909090909,18.115374,13.173889,22.903381,2.4987328,1.4234525,4.0598016,0.0138441725,85.07831,40.827026,98.47498
140,2023-05-21,871.2,43.3495652173913,17.156284,13.886139,21.753387,1.968305,0.3819372,3.2438092,0.13037148,84.96856,64.835236,96.23076
141,2023-05-22,872.4,89.62875000000001,17.103697,12.390472,22.915161,1.4296743,0.7019945,2.6523476,0.38431436,83.30346,56.336956,98.44558
142,2023-05-23,874.2,83.92181818181818,18.490461,13.995728,24.154755,1.7569185,0.9654246,2.788268,0.2851075,78.51425,49.818794,96.169685
143,2023-05-24,875.4,85.33833333333332,19.451635,13.811462,24.584625,1.6025195,0.67607903,2.8301497,0.1013695,29.98683,11.616031,53.18004
144,2023-05-25,876.6,75.15291666666667,20.4848,14.086548,26.726349,1.9561886,0.5577671,4.7252517,0.110672966,18.917078,6.7074046,43.257374
